,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:39:14.855000,GAS,10,0 days 00:02:04.697000,1.0,1.0,,,,56.543,34.384,,0 days 00:38:40.566000,0 days 00:39:14.968000,238.0,97.0,246.0,261.0,False,MEDIUM,4.0,False,AlphaTauri,0 days 00:37:09.970000,2021-03-28 15:07:09.980,24,6.0,False,,False,False,124.697,
1,0 days 00:41:37.118000,GAS,10,0 days 00:02:22.263000,2.0,1.0,,,45.22,60.086,36.957,0 days 00:40:00.093000,0 days 00:41:00.179000,0 days 00:41:37.136000,120.0,134.0,182.0,236.0,True,MEDIUM,5.0,False,AlphaTauri,0 days 00:39:14.855000,2021-03-28 15:09:14.865,4,5.0,False,,False,False,142.263,142.263
2,0 days 00:44:09.722000,GAS,10,,3.0,1.0,,,42.591,60.85,49.169,0 days 00:42:19.732000,0 days 00:43:20.626000,0 days 00:44:09.789000,217.0,99.0,176.0,229.0,False,MEDIUM,6.0,False,AlphaTauri,0 days 00:41:37.118000,2021-03-28 15:11:37.128,4,5.0,False,,False,False,,152.61
3,0 days 00:46:16.494000,GAS,10,0 days 00:02:06.772000,4.0,1.0,,0 days 00:46:14.801000,33.336,50.186,43.25,0 days 00:44:43.076000,0 days 00:45:33.262000,0 days 00:46:16.512000,229.0,202.0,,297.0,False,MEDIUM,7.0,False,AlphaTauri,0 days 00:44:09.722000,2021-03-28 15:14:09.732,267,18.0,False,,False,False,126.772,126.77199999999999
4,0 days 00:48:28.028000,GAS,10,0 days 00:02:11.534000,5.0,2.0,0 days 00:46:53.133000,,65.748,41.956,23.83,0 days 00:47:22.260000,0 days 00:48:04.216000,0 days 00:48:28.046000,231.0,251.0,275.0,213.0,False,HARD,1.0,True,AlphaTauri,0 days 00:46:16.494000,2021-03-28 15:16:16.504,7,19.0,False,,False,False,131.534,131.534
5,0 days 00:50:04.705000,GAS,10,0 days 00:01:36.677000,6.0,2.0,,,30.99,41.802,23.885,0 days 00:48:59.036000,0 days 00:49:40.838000,0 days 00:50:04.723000,233.0,254.0,275.0,280.0,True,HARD,2.0,True,AlphaTauri,0 days 00:48:28.028000,2021-03-28 15:18:28.038,1,19.0,False,,False,True,96.677,96.677
6,0 days 00:51:41.659000,GAS,10,0 days 00:01:36.954000,7.0,2.0,,,31.176,41.678,24.1,0 days 00:50:35.899000,0 days 00:51:17.577000,0 days 00:51:41.677000,232.0,252.0,274.0,282.0,False,HARD,3.0,True,AlphaTauri,0 days 00:50:04.705000,2021-03-28 15:20:04.715,1,19.0,False,,False,True,96.954,96.95400000000001
7,0 days 00:53:19.083000,GAS,10,0 days 00:01:37.424000,8.0,2.0,,,31.34,41.981,24.103,0 days 00:52:13.017000,0 days 00:52:54.998000,0 days 00:53:19.101000,231.0,251.0,275.0,,False,HARD,4.0,True,AlphaTauri,0 days 00:51:41.659000,2021-03-28 15:21:41.669,1,19.0,False,,False,True,97.424,97.424
8,0 days 00:54:56.113000,GAS,10,0 days 00:01:37.030000,9.0,2.0,,,31.256,41.911,23.863,0 days 00:53:50.357000,0 days 00:54:32.268000,0 days 00:54:56.131000,234.0,248.0,276.0,286.0,False,HARD,5.0,True,AlphaTauri,0 days 00:53:19.083000,2021-03-28 15:23:19.093,1,19.0,False,,False,True,97.03,97.03
9,0 days 00:56:33.488000,GAS,10,0 days 00:01:37.375000,10.0,2.0,,,31.296,42.128,23.951,0 days 00:55:27.427000,0 days 00:56:09.555000,0 days 00:56:33.506000,233.0,245.0,274.0,285.0,False,HARD,6.0,True,AlphaTauri,0 days 00:54:56.113000,2021-03-28 15:24:56.123,1,19.0,False,,False,True,97.375,97.375
